Martin packaging metrics,domingo, 5 dez 2021 21:19:11 WET
Package,A,Ca,Ce,D,I
"org.jabref.gui.maintable","0,00",434,848,"0,34","0,71"
"org.jabref.gui.maintable.columns","0,00",30,299,"0,09","0,91"
"org.jabref.gui.menus","0,00",12,87,"0,12","0,88"
"org.jabref.gui.mergeentries","0,00",33,427,"0,07","0,93"
"org.jabref.gui.metadata","0,00",2,81,"0,02","0,98"
"org.jabref.gui.openoffice","0,00",1,834,"0,00","1,00"
"org.jabref.gui.preferences","0,38",382,204,"0,28","0,35"
"org.jabref.gui.preferences.appearance","0,00",1,102,"0,01","0,99"
"org.jabref.gui.preferences.citationkeypattern","0,00",1,99,"0,01","0,99"
"org.jabref.gui.preferences.customexporter","0,00",1,55,"0,02","0,98"
"org.jabref.gui.preferences.customimporter","0,00",1,103,"0,01","0,99"
"org.jabref.gui.preferences.entryeditor","0,00",1,82,"0,01","0,99"
"org.jabref.gui.preferences.entryeditortabs","0,00",1,49,"0,02","0,98"
"org.jabref.gui.preferences.external","0,00",1,99,"0,01","0,99"
"org.jabref.gui.preferences.file","0,00",1,42,"0,02","0,98"
"org.jabref.gui.preferences.general","0,00",1,129,"0,01","0,99"
"org.jabref.gui.preferences.groups","0,00",1,33,"0,03","0,97"
"org.jabref.gui.preferences.importexport","0,00",1,71,"0,01","0,99"
"org.jabref.gui.preferences.journals","0,00",1,144,"0,01","0,99"
"org.jabref.gui.preferences.keybindings","0,00",33,96,"0,26","0,74"
"org.jabref.gui.preferences.keybindings.presets","0,33",11,69,"0,20","0,86"
"org.jabref.gui.preferences.linkedfiles","0,00",1,90,"0,01","0,99"
"org.jabref.gui.preferences.nameformatter","0,00",1,53,"0,02","0,98"
"org.jabref.gui.preferences.network","0,00",1,146,"0,01","0,99"
"org.jabref.gui.preferences.preview","0,00",1,301,"0,00","1,00"
"org.jabref.gui.preferences.protectedterms","0,00",1,210,"0,00","0,99"
"org.jabref.gui.preferences.table","0,00",1,277,"0,00","1,00"
"org.jabref.gui.preferences.xmp","0,00",1,112,"0,01","0,99"
"org.jabref.gui.preview","0,00",47,253,"0,16","0,84"
"org.jabref.gui.push","0,14",39,236,"0,00","0,86"
"org.jabref.gui.remote","0,00",2,13,"0,13","0,87"
"org.jabref.gui.search","0,10",31,305,"0,01","0,91"
"org.jabref.gui.search.rules.describer","0,20",16,184,"0,12","0,85"
"org.jabref.gui.shared","0,00",6,369,"0,02","0,98"
"org.jabref.gui.sidepane","0,20",88,43,"0,47","0,31"
"org.jabref.gui.slr","0,00",2,141,"0,01","0,99"
"org.jabref.gui.specialfields","0,00",133,219,"0,38","0,62"
"org.jabref.gui.texparser","0,00",4,187,"0,02","0,98"
"org.jabref.gui.undo","0,00",193,241,"0,44","0,56"
"org.jabref.gui.util","0,04",1 950,201,"0,87","0,11"
"org.jabref.gui.util.comparator","0,00",3,12,"0,20","0,80"
